type,age group,year,month,N,Pop,Crude Rate,LCL,UCL,total_all_causes,percent
drug overdose,10_18,2019,Feb,*,"668,842",*,*,*,16,*
drug overdose,10_18,2019,Mar,0,"668,842",0,0,0,16,0
drug overdose,10_18,2019,Apr,0,"668,842",0,0,0,18,0
drug overdose,10_18,2019,May,*,"668,842",*,*,*,21,*
drug overdose,10_18,2019,Jun,0,"668,842",0,0,0,19,0
drug overdose,10_18,2019,Jul,*,"668,842",*,*,*,23,*
drug overdose,10_18,2019,Aug,3,"668,842",5.38,0,11.47,20,15
drug overdose,10_18,2019,Sep,0,"668,842",0,0,0,10,0
drug overdose,10_18,2019,Oct,*,"668,842",*,*,*,17,*
drug overdose,10_18,2019,Nov,*,"668,842",*,*,*,21,*
drug overdose,10_18,2019,Dec,*,"668,842",*,*,*,14,*
drug overdose,10_18,2020,Jan,4,"673,170",7.13,0.14,14.12,24,16.67
drug overdose,10_18,2020,Feb,3,"673,170",5.35,0,11.4,15,20
drug overdose,10_18,2020,Mar,*,"673,170",*,*,*,13,*
drug overdose,10_18,2020,Apr,3,"673,170",5.35,0,11.4,25,12
drug overdose,10_18,2020,May,*,"673,170",*,*,*,27,*
drug overdose,10_18,2020,Jun,0,"673,170",0,0,0,19,0
drug overdose,10_18,2020,Jul,0,"673,170",0,0,0,11,0
drug overdose,10_18,2020,Aug,0,"673,170",0,0,0,0,*
drug overdose,10_18,2020,Sep,0,"673,170",0,0,0,0,*
drug overdose,10_18,2020,Oct,0,"673,170",0,0,0,0,*
drug overdose,10_18,2020,Nov,0,"673,170",0,0,0,0,*
drug overdose,10_18,2020,Dec,0,"673,170",0,0,0,0,*
drug overdose,19_24,2018,Jan,11,"478,713",27.57,11.28,43.87,33,33.33
drug overdose,19_24,2018,Feb,5,"478,713",12.53,1.55,23.52,34,14.71
drug overdose,19_24,2018,Mar,8,"478,713",20.05,6.16,33.95,38,21.05
drug overdose,19_24,2018,Apr,*,"478,713",*,*,*,29,*
drug overdose,19_24,2018,May,4,"478,713",10.03,0.2,19.85,35,11.43
drug overdose,19_24,2018,Jun,7,"478,713",17.55,4.55,30.54,34,20.59
drug overdose,19_24,2018,Jul,5,"478,713",12.53,1.55,23.52,41,12.2
drug overdose,19_24,2018,Aug,9,"478,713",22.56,7.82,37.3,27,33.33
drug overdose,19_24,2018,Sep,4,"478,713",10.03,0.2,19.85,30,13.33
drug overdose,19_24,2018,Oct,4,"478,713",10.03,0.2,19.85,31,12.9
drug overdose,19_24,2018,Nov,4,"478,713",10.03,0.2,19.85,32,12.5
drug overdose,19_24,2018,Dec,5,"478,713",12.53,1.55,23.52,34,14.71
drug overdose,19_24,2019,Jan,8,"483,312",19.86,6.1,33.63,36,22.22
drug overdose,19_24,2019,Feb,5,"483,312",12.41,1.53,23.3,25,20
drug overdose,19_24,2019,Mar,10,"483,312",24.83,9.44,40.22,36,27.78
drug overdose,19_24,2019,Apr,5,"483,312",12.41,1.53,23.3,32,15.63
drug overdose,19_24,2019,May,4,"483,312",9.93,0.2,19.66,31,12.9
drug overdose,19_24,2019,Jun,5,"483,312",12.41,1.53,23.3,32,15.63
drug overdose,19_24,2019,Jul,9,"483,312",22.35,7.75,36.94,44,20.45
drug overdose,19_24,2019,Aug,8,"483,312",19.86,6.1,33.63,46,17.39
drug overdose,19_24,2019,Sep,5,"483,312",12.41,1.53,23.3,35,14.29
drug overdose,19_24,2019,Oct,9,"483,312",22.35,7.75,36.94,37,24.32
drug overdose,19_24,2019,Nov,6,"483,312",14.9,2.98,26.82,41,14.63
drug overdose,19_24,2019,Dec,10,"483,312",24.83,9.44,40.22,35,28.57
drug overdose,19_24,2020,Jan,11,"494,079",26.72,10.93,42.5,36,30.56
drug overdose,19_24,2020,Feb,13,"494,079",31.57,14.41,48.74,37,35.14
drug overdose,19_24,2020,Mar,7,"494,079",17,4.41,29.6,37,18.92
drug overdose,19_24,2020,Apr,11,"494,079",26.72,10.93,42.5,50,22
drug overdose,19_24,2020,May,6,"494,079",14.57,2.91,26.23,41,14.63
drug overdose,19_24,2020,Jun,*,"494,079",*,*,*,41,*
drug overdose,19_24,2020,Jul,0,"494,079",0,0,0,22,0
drug overdose,19_24,2020,Aug,0,"494,079",0,0,0,0,*
drug overdose,19_24,2020,Sep,0,"494,079",0,0,0,0,*
drug overdose,19_24,2020,Oct,0,"494,079",0,0,0,0,*
drug overdose,19_24,2020,Nov,0,"494,079",0,0,0,0,*
drug overdose,19_24,2020,Dec,0,"494,079",0,0,0,0,*
drug overdose,25_44,2018,Jan,41,"1,630,669",30.17,20.94,39.41,199,20.6
drug overdose,25_44,2018,Feb,41,"1,630,669",30.17,20.94,39.41,165,24.85
drug overdose,25_44,2018,Mar,39,"1,630,669",28.7,19.69,37.71,188,20.74
drug overdose,25_44,2018,Apr,37,"1,630,669",27.23,18.46,36,189,19.58
drug overdose,25_44,2018,May,40,"1,630,669",29.44,20.31,38.56,203,19.7
drug overdose,25_44,2018,Jun,28,"1,630,669",20.61,12.97,28.24,209,13.4
drug overdose,25_44,2018,Jul,41,"1,630,669",30.17,20.94,39.41,224,18.3
drug overdose,25_44,2018,Aug,38,"1,630,669",27.96,19.07,36.85,208,18.27
drug overdose,25_44,2018,Sep,32,"1,630,669",23.55,15.39,31.71,210,15.24
drug overdose,25_44,2018,Oct,35,"1,630,669",25.76,17.22,34.29,186,18.82
drug overdose,25_44,2018,Nov,31,"1,630,669",22.81,14.78,30.84,166,18.67
drug overdose,25_44,2018,Dec,38,"1,630,669",27.96,19.07,36.85,205,18.54
drug overdose,25_44,2019,Jan,40,"1,659,636",28.92,19.96,37.88,199,20.1
drug overdose,25_44,2019,Feb,35,"1,659,636",25.31,16.92,33.69,184,19.02
drug overdose,25_44,2019,Mar,28,"1,659,636",20.25,12.75,27.74,183,15.3
drug overdose,25_44,2019,Apr,41,"1,659,636",29.65,20.57,38.72,212,19.34
drug overdose,25_44,2019,May,46,"1,659,636",33.26,23.65,42.87,212,21.7
drug overdose,25_44,2019,Jun,45,"1,659,636",32.54,23.03,42.04,222,20.27
drug overdose,25_44,2019,Jul,38,"1,659,636",27.48,18.74,36.21,215,17.67
drug overdose,25_44,2019,Aug,45,"1,659,636",32.54,23.03,42.04,224,20.09
drug overdose,25_44,2019,Sep,36,"1,659,636",26.03,17.53,34.53,191,18.85
drug overdose,25_44,2019,Oct,44,"1,659,636",31.81,22.42,41.21,195,22.56
drug overdose,25_44,2019,Nov,40,"1,659,636",28.92,19.96,37.88,181,22.1
drug overdose,25_44,2019,Dec,60,"1,659,636",43.38,32.41,54.36,250,24
drug overdose,25_44,2020,Jan,51,"1,713,485",35.72,25.92,45.52,215,23.72
drug overdose,25_44,2020,Feb,43,"1,713,485",30.11,21.11,39.11,214,20.09
drug overdose,25_44,2020,Mar,59,"1,713,485",41.32,30.78,51.86,225,26.22
drug overdose,25_44,2020,Apr,64,"1,713,485",44.82,33.84,55.8,273,23.44
drug overdose,25_44,2020,May,49,"1,713,485",34.32,24.71,43.92,275,17.82
drug overdose,25_44,2020,Jun,4,"1,713,485",2.8,0.06,5.55,250,1.6
drug overdose,25_44,2020,Jul,0,"1,713,485",0,0,0,109,0
drug overdose,25_44,2020,Aug,0,"1,713,485",0,0,0,0,*
drug overdose,25_44,2020,Sep,0,"1,713,485",0,0,0,0,*
drug overdose,25_44,2020,Oct,0,"1,713,485",0,0,0,0,*
drug overdose,25_44,2020,Nov,0,"1,713,485",0,0,0,0,*
drug overdose,25_44,2020,Dec,0,"1,713,485",0,0,0,0,*
drug overdose,45_64,2018,Jan,38,"1,434,958",31.78,21.68,41.88,711,5.34
drug overdose,45_64,2018,Feb,27,"1,434,958",22.58,14.06,31.09,573,4.71
drug overdose,45_64,2018,Mar,28,"1,434,958",23.42,14.74,32.09,587,4.77
drug overdose,45_64,2018,Apr,29,"1,434,958",24.25,15.43,33.08,615,4.72
drug overdose,45_64,2018,May,33,"1,434,958",27.6,18.18,37.01,625,5.28
drug overdose,45_64,2018,Jun,19,"1,434,958",15.89,8.74,23.03,569,3.34
drug overdose,45_64,2018,Jul,36,"1,434,958",30.11,20.27,39.94,596,6.04
drug overdose,45_64,2018,Aug,32,"1,434,958",26.76,17.49,36.03,633,5.06
drug overdose,45_64,2018,Sep,22,"1,434,958",18.4,10.71,26.08,583,3.77
drug overdose,45_64,2018,Oct,27,"1,434,958",22.58,14.06,31.09,581,4.65
drug overdose,45_64,2018,Nov,29,"1,434,958",24.25,15.43,33.08,604,4.8
drug overdose,45_64,2018,Dec,41,"1,434,958",34.29,23.79,44.78,641,6.4
drug overdose,45_64,2019,Jan,32,"1,437,130",26.72,17.46,35.98,706,4.53
drug overdose,45_64,2019,Feb,35,"1,437,130",29.22,19.54,38.91,612,5.72
drug overdose,45_64,2019,Mar,36,"1,437,130",30.06,20.24,39.88,650,5.54
drug overdose,45_64,2019,Apr,27,"1,437,130",22.54,14.04,31.05,614,4.4
drug overdose,45_64,2019,May,32,"1,437,130",26.72,17.46,35.98,609,5.25
drug overdose,45_64,2019,Jun,26,"1,437,130",21.71,13.37,30.05,596,4.36
drug overdose,45_64,2019,Jul,38,"1,437,130",31.73,21.64,41.82,636,5.97
drug overdose,45_64,2019,Aug,26,"1,437,130",21.71,13.37,30.05,590,4.41
drug overdose,45_64,2019,Sep,30,"1,437,130",25.05,16.09,34.01,575,5.22
drug overdose,45_64,2019,Oct,34,"1,437,130",28.39,18.85,37.93,619,5.49
drug overdose,45_64,2019,Nov,34,"1,437,130",28.39,18.85,37.93,617,5.51
drug overdose,45_64,2019,Dec,42,"1,437,130",35.07,24.47,45.67,623,6.74
drug overdose,45_64,2020,Jan,30,"1,451,882",24.8,15.92,33.67,643,4.67
drug overdose,45_64,2020,Feb,28,"1,451,882",23.14,14.57,31.71,643,4.35
drug overdose,45_64,2020,Mar,42,"1,451,882",34.71,24.22,45.21,700,6
drug overdose,45_64,2020,Apr,41,"1,451,882",33.89,23.52,44.26,807,5.08
drug overdose,45_64,2020,May,30,"1,451,882",24.8,15.92,33.67,682,4.4
drug overdose,45_64,2020,Jun,7,"1,451,882",5.79,1.5,10.07,680,1.03
drug overdose,45_64,2020,Jul,0,"1,451,882",0,0,0,268,0
drug overdose,45_64,2020,Aug,0,"1,451,882",0,0,0,0,*
drug overdose,45_64,2020,Sep,0,"1,451,882",0,0,0,0,*
drug overdose,45_64,2020,Oct,0,"1,451,882",0,0,0,0,*
drug overdose,45_64,2020,Nov,0,"1,451,882",0,0,0,0,*
drug overdose,45_64,2020,Dec,0,"1,451,882",0,0,0,0,*
drug overdose,65+,2018,Jan,11,"808,685",16.32,6.68,25.97,"2,705",0.41
drug overdose,65+,2018,Feb,6,"808,685",8.9,1.78,16.03,"2,321",0.26
drug overdose,65+,2018,Mar,10,"808,685",14.84,5.64,24.04,"2,574",0.39
drug overdose,65+,2018,Apr,5,"808,685",7.42,0.92,13.92,"2,345",0.21
drug overdose,65+,2018,May,12,"808,685",17.81,7.73,27.88,"2,271",0.53
drug overdose,65+,2018,Jun,8,"808,685",11.87,3.65,20.1,"2,013",0.4
drug overdose,65+,2018,Jul,6,"808,685",8.9,1.78,16.03,"2,095",0.29
drug overdose,65+,2018,Aug,*,"808,685",*,*,*,"2,235",*
drug overdose,65+,2018,Sep,8,"808,685",11.87,3.65,20.1,"2,097",0.38
drug overdose,65+,2018,Oct,11,"808,685",16.32,6.68,25.97,"2,350",0.47
drug overdose,65+,2018,Nov,4,"808,685",5.94,0.12,11.75,"2,330",0.17
drug overdose,65+,2018,Dec,12,"808,685",17.81,7.73,27.88,"2,435",0.49
drug overdose,65+,2019,Jan,3,"843,612",4.27,0,9.1,"2,547",0.12
drug overdose,65+,2019,Feb,4,"843,612",5.69,0.11,11.27,"2,314",0.17
drug overdose,65+,2019,Mar,6,"843,612",8.53,1.71,15.36,"2,622",0.23
drug overdose,65+,2019,Apr,10,"843,612",14.22,5.41,23.04,"2,312",0.43
drug overdose,65+,2019,May,3,"843,612",4.27,0,9.1,"2,406",0.12
drug overdose,65+,2019,Jun,8,"843,612",11.38,3.49,19.26,"2,217",0.36
drug overdose,65+,2019,Jul,4,"843,612",5.69,0.11,11.27,"2,181",0.18
drug overdose,65+,2019,Aug,6,"843,612",8.53,1.71,15.36,"2,159",0.28
drug overdose,65+,2019,Sep,14,"843,612",19.91,9.48,30.35,"2,251",0.62
drug overdose,65+,2019,Oct,4,"843,612",5.69,0.11,11.27,"2,457",0.16
drug overdose,65+,2019,Nov,4,"843,612",5.69,0.11,11.27,"2,360",0.17
drug overdose,65+,2019,Dec,7,"843,612",9.96,2.58,17.33,"2,547",0.27
drug overdose,65+,2020,Jan,10,"883,987",13.57,5.16,21.99,"2,712",0.37
drug overdose,65+,2020,Feb,5,"883,987",6.79,0.84,12.74,"2,506",0.2
drug overdose,65+,2020,Mar,9,"883,987",12.22,4.24,20.2,"2,723",0.33
drug overdose,65+,2020,Apr,7,"883,987",9.5,2.46,16.54,"3,342",0.21
drug overdose,65+,2020,May,3,"883,987",4.07,0,8.68,"2,723",0.11
drug overdose,65+,2020,Jun,*,"883,987",*,*,*,"2,447",*
drug overdose,65+,2020,Jul,0,"883,987",0,0,0,"1,080",0
drug overdose,65+,2020,Aug,0,"883,987",0,0,0,0,*
drug overdose,65+,2020,Sep,0,"883,987",0,0,0,0,*
drug overdose,65+,2020,Oct,0,"883,987",0,0,0,0,*
drug overdose,65+,2020,Nov,0,"883,987",0,0,0,0,*
drug overdose,65+,2020,Dec,0,"883,987",0,0,0,0,*
